User_ID,Name,Gender,Age,Religion,Location,Education,Job_Title,Bio_Preference,preferences
55,Varun,Male,27,Christian,Chennai,Journalism,Content Writer,I am a Content Writer with a degree in Journalism. Looking for a partner around 25 who is working as a Cloud Architect or has studied B.Sc Computer Science. I am based in Chennai and value career growth.,"{'Religion': None, 'Profession': 'Cloud Architect', 'Age': 25, 'Education': 'B.Sc Computer Science', 'Location': 'Chennai'}"
56,Sonal,Female,28,Muslim,Mumbai,BE,Product Manager,I am a Product Manager with a degree in BE. Looking for a partner around 28 who is a Finance Manager or has studied MBA. I am based in Mumbai and value career growth.,"{'Religion': None, 'Profession': 'Finance Manager', 'Age': 28, 'Education': 'MBA', 'Location': 'Mumbai'}"
57,Tanvi,Female,31,Muslim,Noida,MCA,SDE,I am a SDE with a degree in MCA. Looking for a partner age 31 who is working as a Finance Manager or has studied PGDM. I am based in Noida and value career growth.,"{'Religion': None, 'Profession': 'Finance Manager', 'Age': 31, 'Education': 'PGDM', 'Location': 'Noida'}"
58,Rishi,Male,23,Hindu,Hyderabad,MCA,Backend Developer,I am a Backend Developer with a degree in MCA. Looking for a partner around 25 who is working as a HR Specialist or has studied BBA. I am based in Hyderabad and value career growth.,"{'Religion': None, 'Profession': 'HR Specialist', 'Age': 25, 'Education': 'BBA', 'Location': 'Hyderabad'}"
59,Gaurav,Male,26,Jain,Noida,LLB,Corporate Lawyer,I am a Corporate Lawyer with a degree in UPSC Aspirant. Looking for a partner age 26 who is working as a Fashion Stylist or has studied Mass Communication. I am based in Noida and value career growth.,"{'Religion': None, 'Profession': 'Fashion Stylist', 'Age': 26, 'Education': 'Mass Communication', 'Location': 'Noida'}"
60,Nisha,Female,32,Hindu,Bangalore,B.E. CSE,SDE,I am a SDE with a degree in B.Sc Computer Science. Looking for a partner around 33 who is working as a Dentist or has studied MBBS. I am based in Bangalore and value career growth.,"{'Religion': None, 'Profession': 'Dentist', 'Age': 33, 'Education': 'MBBS', 'Location': 'Bangalore'}"
61,Anika,Female,22,Hindu,Mumbai,BCA,QA Tester,I am a QA Tester with a degree in Diploma in IT. Looking for a partner around 22 who is working as a Fashion Stylist or has studied Bachelor of Design. I am based in Mumbai and value career growth.,"{'Religion': None, 'Profession': 'Fashion Stylist', 'Age': 22, 'Education': 'Bachelor of Design', 'Location': 'Mumbai'}"
62,Kajal,Female,26,Hindu,Kolkata,UPSC Aspirant,Research Scholar,I am a Research Scholar with a degree in UPSC Aspirant. Looking for a partner age 28 who is a Investment Banker or has studied M.Com. I am based in Kolkata and value career growth.,"{'Religion': None, 'Profession': 'Investment Banker', 'Age': 28, 'Education': 'M.Com', 'Location': 'Kolkata'}"
63,Karan,Male,26,Hindu,Pune,Mass Communication,Fashion Stylist,I am a Fashion Stylist with a degree in Mass Communication. Looking for a partner around 25 who is working as a Journalist or has studied Mass Communication. I am based in Pune and value career growth.,"{'Religion': None, 'Profession': 'Journalist', 'Age': 25, 'Education': 'Mass Communication', 'Location': 'Pune'}"
64,Sonal,Female,31,Hindu,Ahmedabad,CFA,Finance Manager,I am a Finance Manager with a degree in B.Com. Looking for a partner around 32 who is a Finance Manager or has studied MBA. I am based in Ahmedabad and value career growth.,"{'Religion': None, 'Profession': 'Finance Manager', 'Age': 32, 'Education': 'MBA', 'Location': 'Ahmedabad'}"
65,Pooja,Female,31,Hindu,Pune,Diploma Photography,Photographer,I am a Photographer with a degree in Journalism. Looking for a partner around 33 who is a Pediatrician or has studied B.Pharma. I am based in Pune and value career growth.,"{'Religion': None, 'Profession': 'Pediatrician', 'Age': 33, 'Education': 'B.Pharma', 'Location': 'Pune'}"
66,Nisha,Female,29,Hindu,Kolkata,Journalism,Art Director,I am a Art Director with a degree in Journalism. Looking for a partner around 31 who is working as a Legal Consultant or has studied LLB. I am based in Kolkata and value career growth.,"{'Religion': None, 'Profession': 'Legal Consultant', 'Age': 31, 'Education': 'LLB', 'Location': 'Kolkata'}"
67,Suresh,Male,33,Muslim,Delhi,Fashion Design,Video Editor,I am a Video Editor with a degree in Fashion Design. Looking for a partner around 34 who is working as a Art Director or has studied Bachelor of Design. I am based in Delhi and value career growth.,"{'Religion': None, 'Profession': 'Art Director', 'Age': 34, 'Education': 'Bachelor of Design', 'Location': 'Delhi'}"
68,Vihaan,Male,22,Hindu,Kolkata,M.S. Data Science,Data Scientist,I am a Data Scientist with a degree in BE. Looking for a partner around 21 who is working as a SDE or has studied M.Tech. I am based in Kolkata and value career growth.,"{'Religion': None, 'Profession': 'SDE', 'Age': 21, 'Education': 'M.Tech', 'Location': 'Kolkata'}"
69,Nikhil,Male,25,Parsi,Mumbai,B.Des,Graphic Designer,I am a Graphic Designer with a degree in MA in Literature. Looking for a partner age 25 who is a Physiotherapist or has studied BHMS. I am based in Mumbai and value career growth.,"{'Religion': None, 'Profession': 'Physiotherapist', 'Age': 25, 'Education': 'BHMS', 'Location': 'Mumbai'}"
70,Yash,Male,31,Hindu,Kolkata,MBBS,Medical Officer,I am a Medical Officer with a degree in BDS. Looking for a partner age 32 who is working as a Civil Engineer or has studied B.Arch (Architecture). I am based in Kolkata and value career growth.,"{'Religion': None, 'Profession': 'Civil Engineer', 'Age': 32, 'Education': 'B.Arch (Architecture)', 'Location': 'Kolkata'}"
71,Harsh,Male,27,Hindu,Noida,B.Tech,Cloud Architect,I am a Cloud Architect with a degree in Diploma in IT. Looking for a partner around 25 who is working as a Investment Banker or has studied CFA. I am based in Noida and value career growth.,"{'Religion': None, 'Profession': 'Investment Banker', 'Age': 25, 'Education': 'CFA', 'Location': 'Noida'}"
72,Sneha,Female,24,Hindu,Gurgaon,PhD,Professor,I am a Professor with a degree in LLB. Looking for a partner around 23 who is working as a Research Scholar or has studied B.Plan. I am based in Gurgaon and value career growth.,"{'Religion': None, 'Profession': 'Research Scholar', 'Age': 23, 'Education': 'B.Plan', 'Location': 'Gurgaon'}"
73,Rahul,Male,23,Hindu,Delhi,B.Des Interior,Interior Designer,I am a Interior Designer with a degree in UPSC Aspirant. Looking for a partner age 22 who is working as a Professor or has studied LLM. I am based in Delhi and value career growth.,"{'Religion': None, 'Profession': 'Professor', 'Age': 22, 'Education': 'LLM', 'Location': 'Delhi'}"
74,Siddharth,Male,25,Hindu,Hyderabad,DNB Radiology,Radiologist,I am a Radiologist with a degree in B.Sc Nursing. Looking for a partner age 25 who is working as a Legal Consultant or has studied LLM. I am based in Hyderabad and value career growth.,"{'Religion': None, 'Profession': 'Legal Consultant', 'Age': 25, 'Education': 'LLM', 'Location': 'Hyderabad'}"
75,Rishi,Male,23,Parsi,Hyderabad,B.Tech,Cloud Architect,I am a Cloud Architect with a degree in B.Sc Computer Science. Looking for a partner age 23 who is working as a UI/UX Designer or has studied M.Tech. I am based in Hyderabad and value career growth.,"{'Religion': None, 'Profession': 'UI/UX Designer', 'Age': 23, 'Education': 'M.Tech', 'Location': 'Hyderabad'}"
76,Kavya,Female,27,Hindu,Delhi,MS in CS,UI/UX Designer,I am a UI/UX Designer with a degree in MS in CS. Looking for a partner around 29 who is a Investment Banker or has studied CFA. I am based in Delhi and value career growth.,"{'Religion': None, 'Profession': 'Investment Banker', 'Age': 29, 'Education': 'CFA', 'Location': 'Delhi'}"
77,Saanvi,Female,28,Muslim,Delhi,CFA,Marketing Head,I am a Marketing Head with a degree in CFA. Looking for a partner around 27 who is a Corporate Lawyer or has studied B.Plan. I am based in Delhi and value career growth.,"{'Religion': None, 'Profession': 'Corporate Lawyer', 'Age': 27, 'Education': 'B.Plan', 'Location': 'Delhi'}"
78,Arjun,Male,22,Hindu,Pune,BBA,Marketing Head,I am a Marketing Head with a degree in BBA. Looking for a partner age 22 who is a Photographer or has studied Bachelor of Design. I am based in Pune and value career growth.,"{'Religion': None, 'Profession': 'Photographer', 'Age': 22, 'Education': 'Bachelor of Design', 'Location': 'Pune'}"
79,Sneha,Female,23,Hindu,Noida,B.Pharma,Pediatrician,I am a Pediatrician with a degree in B.Pharma. Looking for a partner age 23 who is working as a HR Specialist or has studied CS. I am based in Noida and value career growth.,"{'Religion': None, 'Profession': 'HR Specialist', 'Age': 23, 'Education': 'CS', 'Location': 'Noida'}"
80,Kriti,Female,28,Hindu,Pune,Diploma Photography,Photographer,I am a Photographer with a degree in Fashion Design. Looking for a partner age 30 who is a Video Editor or has studied Bachelor of Design. I am based in Pune and value career growth.,"{'Religion': None, 'Profession': 'Video Editor', 'Age': 30, 'Education': 'Bachelor of Design', 'Location': 'Pune'}"
81,Raghav,Male,28,Sikh,Kolkata,M.S. Data Science,Data Scientist,I am a Data Scientist with a degree in Diploma in IT. Looking for a partner around 28 who is working as a Investment Banker or has studied CA. I am based in Kolkata and value career growth.,"{'Religion': None, 'Profession': 'Investment Banker', 'Age': 28, 'Education': 'CA', 'Location': 'Kolkata'}"
82,Neha,Female,25,Hindu,Noida,LLB,Legal Consultant,I am a Legal Consultant with a degree in LLM. Looking for a partner age 27 who is working as a Content Writer or has studied Mass Communication. I am based in Noida and value career growth.,"{'Religion': None, 'Profession': 'Content Writer', 'Age': 27, 'Education': 'Mass Communication', 'Location': 'Noida'}"
83,Pooja,Female,27,Hindu,Bangalore,Journalism,Content Writer,I am a Content Writer with a degree in Journalism. Looking for a partner age 27 who is a Journalist or has studied Fashion Design. I am based in Bangalore and value career growth.,"{'Religion': None, 'Profession': 'Journalist', 'Age': 27, 'Education': 'Fashion Design', 'Location': 'Bangalore'}"
84,Simran,Female,30,Hindu,Hyderabad,Fashion Design,Fashion Stylist,I am a Fashion Stylist with a degree in Fashion Design. Looking for a partner age 31 who is working as a Backend Developer or has studied BCA. I am based in Hyderabad and value career growth.,"{'Religion': None, 'Profession': 'Backend Developer', 'Age': 31, 'Education': 'BCA', 'Location': 'Hyderabad'}"
85,Priya,Female,27,Hindu,Ahmedabad,Fashion Design,Art Director,I am a Art Director with a degree in Fashion Design. Looking for a partner around 26 who is a Pediatrician or has studied MD. I am based in Ahmedabad and value career growth.,"{'Religion': None, 'Profession': 'Pediatrician', 'Age': 26, 'Education': 'MD', 'Location': 'Ahmedabad'}"
86,Anjali,Female,30,Hindu,Mumbai,DNB General Surgery,Surgeon,I am a Surgeon with a degree in BHMS. Looking for a partner around 28 who is working as a Medical Officer or has studied BPT (Physiotherapy). I am based in Mumbai and value career growth.,"{'Religion': None, 'Profession': 'Medical Officer', 'Age': 28, 'Education': 'BPT (Physiotherapy)', 'Location': 'Mumbai'}"
